2020-11-21 00:14:38:656 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-21 00:14:38:940 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2020-11-21 00:14:38:991 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@eb91027, org.springframework.security.web.context.SecurityContextPersistenceFilter@579f3c8e, org.springframework.security.web.header.HeaderWriterFilter@5f3f57ff, org.springframework.web.filter.CorsFilter@459d2ee6, org.springframework.security.web.authentication.logout.LogoutFilter@6df37f7a, com.softwarelab.application.config.rest.RestLoginProcessingFilter@5342eec5, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@60e47aab, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@261a66b8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4e2824b1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2dd8a273, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@adc8683, org.springframework.security.web.session.SessionManagementFilter@521a506c, org.springframework.security.web.access.ExceptionTranslationFilter@63b4b9c6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4e9e0c6]
2020-11-21 00:14:39:390 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 00:14:39:897 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 4.067 seconds (JVM running for 5.249)
2020-11-21 00:14:42:997 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-21 00:14:42:998 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-21 00:14:43:000 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-21 00:14:54:277 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-21 00:14:54:281 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-21 00:14:54:282 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-21 00:14:54:409 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
