2020-11-20 17:29:02:633 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@389a1e34, org.springframework.security.web.context.SecurityContextPersistenceFilter@6c70b7c3, org.springframework.security.web.header.HeaderWriterFilter@311a0b3e, org.springframework.web.filter.CorsFilter@204b0f07, org.springframework.security.web.authentication.logout.LogoutFilter@70a24f9, com.softwarelab.application.config.rest.RestLoginProcessingFilter@6f68756d, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@359865a2, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@5d9bb69b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69a73867, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7e1d8d41, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25d0b918, org.springframework.security.web.session.SessionManagementFilter@21abda60, org.springframework.security.web.access.ExceptionTranslationFilter@1d8be7b9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@9f2376f]
2020-11-20 17:29:02:979 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 17:29:03:533 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 7.498 seconds (JVM running for 8.655)
2020-11-20 17:29:14:150 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-20 17:29:14:152 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-20 17:29:14:155 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-20 17:41:57:864 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-20 17:41:57:872 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-20 17:41:57:873 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-20 17:41:58:056 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-20 17:41:58:165 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
